CUS_CUST_ID,semana,processo,cdu,solucao,qtd
84636219,S2_24-30Mar,PR - Propiedad intelectual,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),4
84636219,S2_24-30Mar,PR - Propiedad intelectual,Fakes,Propiedad intelectual - Pedimos factura (Fakes),2
84636219,S2_24-30Mar,PR - Propiedad intelectual,Publicación activa,Consultas generales - La publicación se encuentra activa,2
84636219,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,1
84636219,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,1
84636219,S2_24-30Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Cross Docking - Excluimos,1
84636219,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo no afecta la reputación,1
84636219,S3_31Mar-06Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,2
84636219,S3_31Mar-06Abr,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y excluimos,1
84636219,S3_31Mar-06Abr,Reputación,Reclamos,Auto: Criterio reclamos - No afecta a la reputación por antigüedad,1
84636219,S3_31Mar-06Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto defectuoso y mantenemos impacto,1
84636219,S4_07-13Abr,Viaje del paquete - Vendedor,Tiene dudas sobre el estado del envio,Envío en camino - está demorado (V),1
154509696,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,17
154509696,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,12
154509696,Pre_01-16Mar,Reputación,Bugs,(sem solucao),4
154509696,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto diferente y mantenemos impacto,3
154509696,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto no recibido y mantenemos impacto,3
154509696,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Mediación abierta,Mediación abierta - Consulta por reputación,2
154509696,Pre_01-16Mar,Despacho Ventas y Publicaciones,Bugs,(sem solucao),2
154509696,Pre_01-16Mar,Reputación,Reclamos,Auto: Solicitud de exclusión - Spam (Caso en gestión),2
154509696,Pre_01-16Mar,Reputación,Bugs,General Bugs - Esperando resolución del caso/error,2
154509696,Pre_01-16Mar,Reputación ME,Bugs,Gestión Manual - Problema Resuelto,1
154509696,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto incompleto y mantenemos impacto,1
154509696,Pre_01-16Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación no afecta la reputación,1
154509696,S1_17-23Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,7
154509696,S1_17-23Mar,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,3
154509696,S1_17-23Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y excluimos,2
154509696,S1_17-23Mar,Reputación,Generales,Consulta derivada - Pendiente de respuesta por equipo responsable,2
154509696,S1_17-23Mar,Reputación,Consultas informativas de Reputación,Criterios reputación - Cómo ver el motivo del reclamo/devolución,1
154509696,S1_17-23Mar,Post Compra Funcionalidades Vendedor,Bugs,(sem solucao),1
154509696,S1_17-23Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto no recibido y mantenemos impacto,1
154509696,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,7
154509696,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto no recibido y mantenemos impacto,7
154509696,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,6
154509696,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto diferente y mantenemos impacto,2
154509696,S2_24-30Mar,Reputación,Análisis masivo de ventas,Gestión masiva - Derivamos a offline,2
154509696,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación porque vendedor no ofrece soporte y mantenemos impacto,1
154509696,S2_24-30Mar,Reputación,Reclamos,Auto: Criterio reclamos - No afecta a la reputación por antigüedad,1
154509696,S2_24-30Mar,Reputación,Reclamos,Auto: Impacto reclamos - Reclamo revisado y no se puede excluir,1
154509696,S2_24-30Mar,Post Compra Funcionalidades Vendedor,Mediación abierta,Mediación abierta - Consulta por reputación,1
154509696,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto defectuoso y mantenemos impacto,1
154509696,S3_31Mar-06Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,23
154509696,S3_31Mar-06Abr,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,5
154509696,S3_31Mar-06Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto no recibido y mantenemos impacto,1
154509696,S3_31Mar-06Abr,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y mantenemos impacto,1
154509696,S3_31Mar-06Abr,Reputación,Reclamos,Analizamos reputación - Reclamo no afecta la reputación,1
154509696,S3_31Mar-06Abr,Reputación,Reclamos,"Auto: Criterio reclamos - No afecta a la reputación, el producto no le sirvió",1
154509696,S3_31Mar-06Abr,Reputación ME,Bugs,Gestión Manual - Problema Resuelto,1
154509696,S4_07-13Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,11
154509696,S4_07-13Abr,Reputación,Consultas informativas de Reputación,Criterios reputación - Cómo ser Tienda Oficial,1
154509696,S4_07-13Abr,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,1
154509696,S4_07-13Abr,Reputación,Bugs,(sem solucao),1
154509696,S4_07-13Abr,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y excluimos,1
154509696,S4_07-13Abr,Reputación,Reclamos,Analizamos reputación - Reclamo no afecta la reputación,1
154509696,S4_07-13Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto no recibido y mantenemos impacto,1
154509696,S5_14-16Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,5
154509696,S5_14-16Abr,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,2
154509696,S5_14-16Abr,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto no recibido y mantenemos impacto,1
154509696,S5_14-16Abr,Reputación,Reclamos,Analizamos reputación - Reclamo no afecta la reputación,1
154804479,Pre_01-16Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Vendedor newbie - Excluimos,11
154804479,Pre_01-16Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Envío no afecta al HT,6
154804479,Pre_01-16Mar,Anulación de Venta,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),3
154804479,Pre_01-16Mar,Reputación ME,HT - Informativas,Reputación ME Informativas: Cómo mejorar la reputación HT,2
154804479,Pre_01-16Mar,Anulación de Venta,Quiere cancelar - con ME,"Cancelar venta (ME) - No puede: envío en camino, Full o entregado",2
